Family,Genus species
Anacardiaceae,Tapirira guianensis
Anacardiaceae,Tapirira obtusa
Annonaceae,Annona dolabripetala
Annonaceae,Annona neolaurifolia
Annonaceae,Annona sylvatica
Annonaceae,Guatteria australis
Annonaceae,Guatteria pogonopus
Annonaceae,Guatteria pohliana
Annonaceae,Guatteria sellowiana
Annonaceae,Guatteria villosissima
Annonaceae,Xylopia emarginata
Apocynaceae,Aspidosperma parvifolium
Apocynaceae,Aspidosperma spruceanum
Aquifoliaceae,Ilex brevicuspis
Aquifoliaceae,Ilex dumosa
Aquifoliaceae,Ilex theezans
Araliaceae,Schefflera calva
Araliaceae,Schefflera longipetiolata
Arecaceae,Euterpe edulis
Arecaceae,Geonoma schottiana
Asteraceae,Eremanthus erythropappus
Asteraceae,Eremanthus polycephalus
Asteraceae,Gochnatia hatschbachii
Asteraceae,Moquinia racemosa
Asteraceae,Piptocarpha axillaris
Asteraceae,Piptocarpha macropoda
Asteraceae,Vernonanthura divaricata
Bignoniaceae,Cybistax antisyphilitica
Bignoniaceae,Handroanthus albus
Bignoniaceae,Sparattosperma leucanthum
Burseraceae,Protium brasiliense
Burseraceae,Protium heptaphyllum
Burseraceae,Protium spruceanum
Celastraceae,Maytenus floribunda
Celastraceae,Maytenus gonoclada
Celastraceae,Maytenus salicifolia
Clethraceae,Clethra scabra
Clusiaceae,Kielmeyera lathrophyton
Clusiaceae,Kielmeyera neglecta
Clusiaceae,Kielmeyera petiolaris
Combretaceae,Buchenavia tomentosa
Cunoniaceae,Lamanomia ternata
Cunoniaceae,Lamanonia grandistipularis
Cunoniaceae,Lamanonia ternata
Cyatheaceae,Cyathea corcovadensis
Cyatheaceae,Cyathea delgadii
Dilleniaceae,Davilla elliptica
Euphorbiaceae,Alchornea triplinervia
Euphorbiaceae,Croton celtidifolius
Euphorbiaceae,Croton urucurana
Euphorbiaceae,Sapium glandulosum
Fabaceae,Apuleia leiocarpa
Fabaceae,Bowdichia virgilioides
Fabaceae,Copaifera langsdorffi
Fabaceae,Dalbergia foliolosa
Fabaceae,Inga sessilis
Fabaceae,Inga uruguensis
Fabaceae,Inga vulpina
Fabaceae,Leucochloron incuriale
Fabaceae,Swartzia myrtifolia
Fabaceae,Tachigali rugosa
Guttiferae,Vismia brasiliensis
Humiriaceae,Vantanea compacta
Icacinaceae,Citronella paniculata
Lamiaceae,Aegiphila verticillata
Lamiaceae,Hyptidendron asperrimum
Lamiaceae,Vitex cymosa
Lamiaceae,Vitex megapotamica
Lamiaceae,Vitex polygama
Lauraceae,Aniba canelilla
Lauraceae,Aniba firmula
Lauraceae,Cinnamomum glaziovii
Lauraceae,Endlicheria paniculata
Lauraceae,Nectandra cissiflora
Lauraceae,Nectandra grandiflora
Lauraceae,Nectandra megapotamica
Lauraceae,Nectandra membranacea
Lauraceae,Nectandra oppositifolia
Lauraceae,Nectandra reticulata
Lauraceae,Ocotea aciphylla
Lauraceae,Ocotea brachybotrya
Lauraceae,Ocotea indecora
Lauraceae,Ocotea lanata
Lauraceae,Ocotea odorifera
Lauraceae,Ocotea pomaderroides
Lauraceae,Ocotea puberula
Lauraceae,Ocotea pulchella
Lauraceae,Ocotea silvestris
Lauraceae,Ocotea spixiana
Lauraceae,Ocotea velloziana
Lauraceae,Persea major
Lauraceae,Persea venosa
Lauraceae,Persea willdenovii
Magnoliaceae,Magnolia ovata
Malpighiaceae,Byrsonima laxiflora
Melastomataceae,Huberia laurina
Melastomataceae,Miconia brasiliensis
Melastomataceae,Miconia chartacea
Melastomataceae,Miconia corallina
Melastomataceae,Miconia cubatanensis
Melastomataceae,Miconia eichleri
Melastomataceae,Miconia elegans
Melastomataceae,Miconia latecrenata
Melastomataceae,Miconia paulensis
Melastomataceae,Miconia punctata
Melastomataceae,Miconia pusilliflora
Melastomataceae,Miconia theizans
Melastomataceae,Tibouchina candolleana
Melastomataceae,Tibouchina estrellensis
Melastomataceae,Tibouchina sellowiana
Melastomataceae,Tibouchina stenocarpa
Melastomataceae,Trembleya parviflora
Meliaceae,Cabralea canjerana
Meliaceae,Guarea macrophylla
Monimiaceae,Macropeplus ligustrinus
Monimiaceae,Mollinedia argyrogyna
Moraceae,Sorocea bonplandii
Moraceae,Sorocea guilleminiana
Myrtaceae,Blepharocalyx salicifolius
Myrtaceae,Calyptranthes concinna
Myrtaceae,Calyptranthes pulchella
Myrtaceae,Campomanesia guaviroba
Myrtaceae,Campomanesia guazumifolia
Myrtaceae,Campomanesia laurifolia
Myrtaceae,Eugenia acutata
Myrtaceae,Eugenia modesta
Myrtaceae,Eugenia nutans
Myrtaceae,Eugenia umbrosa
Myrtaceae,Marlierea clausseniana
Myrtaceae,Marlierea laevigata
Myrtaceae,Marlierea obscura
Myrtaceae,Myrceugenia miersiana
Myrtaceae,Myrceugenia rufescens
Myrtaceae,Myrcia amazonica
Myrtaceae,Myrcia citrifolia
Myrtaceae,Myrcia coelosepala
Myrtaceae,Myrcia guianensis
Myrtaceae,Myrcia laruotteana
Myrtaceae,Myrcia nobilis
Myrtaceae,Myrcia obovata
Myrtaceae,Myrcia pulchra
Myrtaceae,Myrcia splendens
Myrtaceae,Myrcia tomentosa
Myrtaceae,Pimenta pseudocaryophyllus
Myrtaceae,Plinia peruviana
Myrtaceae,Psidium cattleianum
Myrtaceae,Psidium robustum
Myrtaceae,Psidium rufum
Myrtaceae,Siphoneugena densiflora
Myrtaceae,Siphoneugena kiaerskoviana
Myrtaceae,Siphoneugena reitzii
Nyctaginaceae,Guapira opposita
Nyctaginaceae,Guapira venosa
Opiliaceae,Agonandra excelsa
Peraceae,Pogonophora schomburgkiana
Phyllanthaceae,Hieronyma alchorneoides
Phyllanthaceae,Richeria grandis
Podocarpaceae,Podocarpus sellowii
Primulaceae,Myrsine coriacea
Primulaceae,Myrsine guyanensis
Primulaceae,Myrsine umbellata
Proteaceae,Euplassa inaequalis
Proteaceae,Euplassa incana
Proteaceae,Euplassa legalis
Proteaceae,Roupala montana
Proteaceae,Roupala rhombifolia
Rosaceae,Prunus myrtifolia
Rubiaceae,Coussarea contracta
Rubiaceae,Margaritopsis cephalantha
Rubiaceae,Posoqueria latifolia
Rubiaceae,Psychotria malaneoides
Rutaceae,Dictyoloma vandellianum
Rutaceae,Zanthoxylum rhoifolium
Salicaceae,Casearia obliqua
Sapindaceae,Allophylus edulis
Sapindaceae,Allophylus racemosus
Sapindaceae,Cupania emarginata
Sapindaceae,Cupania ludowigii
Sapindaceae,Cupania platycarpa
Sapindaceae,Matayba elaeagnoides
Sapindaceae,Matayba guianensis
Sapindaceae,Matayba mollis
Sapotaceae,Pouteria torta
Simaroubaceae,Simarouba amara
Solanaceae,Cestrum axillare
Solanaceae,Solanum caavurana
Solanaceae,Solanum leucodendron
Solanaceae,Solanum pseudoquina
Solanaceae,Solanum swartzianum
Styracaceae,Styrax ferrugineus
Theaceae,Laplacea fructicosa
Urticaceae,Cecropia pachystachya
Verbenaceae,Aegiphila integrifolia
Verbenaceae,Aegiphila obducta
Vochysiaceae,Vochysia acuminata
Vochysiaceae,Vochysia tucanorum
Winteraceae,Drimys brasiliensis
